feature	id	name
ENSG00000223972.g	ENSG00000223972	DDX11L1
ENSG00000237683.g	ENSG00000237683	
ENSG00000241860.g	ENSG00000241860	
ENSG00000250575.g	ENSG00000250575	
ENSG00000229344.g	ENSG00000229344	
ENSG00000198744.g	ENSG00000198744	
ENSG00000228327.g	ENSG00000228327	
ENSG00000235373.g	ENSG00000235373	
ENSG00000187608.g	ENSG00000187608	ISG15
ENSG00000188157.g	ENSG00000188157	AGRN
ENSG00000217801.g	ENSG00000217801	
ENSG00000186891.g	ENSG00000186891	TNFRSF18
ENSG00000186827.g	ENSG00000186827	TNFRSF4
ENSG00000162572.g	ENSG00000162572	SCNN1D
ENSG00000179403.g	ENSG00000179403	VWA1
ENSG00000228594.g	ENSG00000228594	C1orf233
ENSG00000067606.g	ENSG00000067606	PRKCZ
ENSG00000157933.g	ENSG00000157933	SKI
ENSG00000238164.g	ENSG00000238164	
ENSG00000157873.g	ENSG00000157873	TNFRSF14
ENSG00000142606.g	ENSG00000142606	MMEL1
ENSG00000162591.g	ENSG00000162591	MEGF6
ENSG00000078900.g	ENSG00000078900	TP73
ENSG00000235169.g	ENSG00000235169	SMIM1
ENSG00000116254.g	ENSG00000116254	CHD5
ENSG00000158292.g	ENSG00000158292	GPR153
ENSG00000215788.g	ENSG00000215788	TNFRSF25
ENSG00000049246.g	ENSG00000049246	PER3
ENSG00000049249.g	ENSG00000049249	TNFRSF9
ENSG00000116285.g	ENSG00000116285	ERRFI1
ENSG00000142583.g	ENSG00000142583	SLC2A5
ENSG00000180758.g	ENSG00000180758	GPR157
ENSG00000228526.g	ENSG00000228526	
ENSG00000171621.g	ENSG00000171621	SPSB1
ENSG00000054523.g	ENSG00000054523	KIF1B
ENSG00000130940.g	ENSG00000130940	CASZ1
ENSG00000132879.g	ENSG00000132879	FBXO44
ENSG00000177674.g	ENSG00000177674	AGTRAP
ENSG00000285646.g	ENSG00000285646	NA
ENSG00000201801.g	ENSG00000201801	RNU5E-4P
ENSG00000083444.g	ENSG00000083444	PLOD1
ENSG00000120949.g	ENSG00000120949	TNFRSF8
ENSG00000028137.g	ENSG00000028137	TNFRSF1B
ENSG00000162496.g	ENSG00000162496	DHRS3
ENSG00000171729.g	ENSG00000171729	TMEM51
ENSG00000116771.g	ENSG00000116771	AGMAT
ENSG00000162461.g	ENSG00000162461	SLC25A34
ENSG00000206652.g	ENSG00000206652	RNU1-1
ENSG00000186301.g	ENSG00000186301	MST1P2
ENSG00000207513.g	ENSG00000207513	RNU1-3
ENSG00000058453.g	ENSG00000058453	CROCC
ENSG00000207389.g	ENSG00000207389	RNU1-4
ENSG00000238142.g	ENSG00000238142	
ENSG00000207005.g	ENSG00000207005	RNU1-2
ENSG00000117115.g	ENSG00000117115	PADI2
ENSG00000159339.g	ENSG00000159339	PADI4
ENSG00000074964.g	ENSG00000074964	ARHGEF10L
ENSG00000159423.g	ENSG00000159423	ALDH4A1
ENSG00000169991.g	ENSG00000169991	IFFO2
ENSG00000158747.g	ENSG00000158747	NBL1
ENSG00000162543.g	ENSG00000162543	UBXN10
ENSG00000158825.g	ENSG00000158825	CDA
ENSG00000117298.g	ENSG00000117298	ECE1
ENSG00000142794.g	ENSG00000142794	NBPF3
ENSG00000162551.g	ENSG00000162551	ALPL
ENSG00000076864.g	ENSG00000076864	RAP1GAP
ENSG00000187942.g	ENSG00000187942	LDLRAD2
ENSG00000142798.g	ENSG00000142798	HSPG2
ENSG00000173372.g	ENSG00000173372	C1QA
ENSG00000159189.g	ENSG00000159189	C1QC
ENSG00000173369.g	ENSG00000173369	C1QB
ENSG00000169641.g	ENSG00000169641	LUZP1
ENSG00000007968.g	ENSG00000007968	E2F2
ENSG00000117318.g	ENSG00000117318	ID3
ENSG00000179163.g	ENSG00000179163	FUCA1
ENSG00000188822.g	ENSG00000188822	CNR2
ENSG00000169504.g	ENSG00000169504	CLIC4
ENSG00000020633.g	ENSG00000020633	RUNX3
ENSG00000261349.g	ENSG00000261349	
ENSG00000187010.g	ENSG00000187010	RHD
ENSG00000188672.g	ENSG00000188672	RHCE
ENSG00000157978.g	ENSG00000157978	LDLRAP1
ENSG00000117643.g	ENSG00000117643	MAN1C1
ENSG00000127423.g	ENSG00000127423	AUNIP
ENSG00000117632.g	ENSG00000117632	STMN1
ENSG00000158062.g	ENSG00000158062	UBXN11
ENSG00000169442.g	ENSG00000169442	CD52
ENSG00000225159.g	ENSG00000225159	NPM1P39
ENSG00000142733.g	ENSG00000142733	MAP3K6
ENSG00000126705.g	ENSG00000126705	AHDC1
ENSG00000000938.g	ENSG00000000938	FGR
ENSG00000126709.g	ENSG00000126709	IFI6
ENSG00000252947.g	ENSG00000252947	SCARNA1
ENSG00000130775.g	ENSG00000130775	THEMIS2
ENSG00000130768.g	ENSG00000130768	SMPDL3B
ENSG00000169403.g	ENSG00000169403	PTAFR
ENSG00000130766.g	ENSG00000130766	SESN2
ENSG00000200087.g	ENSG00000200087	SNORA73B
ENSG00000270103.g	ENSG00000270103	RNU11
ENSG00000159023.g	ENSG00000159023	EPB41
ENSG00000162511.g	ENSG00000162511	LAPTM5
ENSG00000162512.g	ENSG00000162512	SDC3
ENSG00000168528.g	ENSG00000168528	SERINC2
ENSG00000182866.g	ENSG00000182866	LCK
ENSG00000175130.g	ENSG00000175130	MARCKSL1
ENSG00000225828.g	ENSG00000225828	FAM229A
ENSG00000160062.g	ENSG00000160062	ZBTB8A
ENSG00000162522.g	ENSG00000162522	KIAA1522
ENSG00000116514.g	ENSG00000116514	RNF19B
ENSG00000004455.g	ENSG00000004455	AK2
ENSG00000092853.g	ENSG00000092853	CLSPN
ENSG00000171812.g	ENSG00000171812	COL8A2
ENSG00000214193.g	ENSG00000214193	SH3D21
ENSG00000142694.g	ENSG00000142694	EVA1B
ENSG00000119535.g	ENSG00000119535	CSF3R
ENSG00000163874.g	ENSG00000163874	ZC3H12A
ENSG00000237749.g	ENSG00000237749	
ENSG00000134690.g	ENSG00000134690	CDCA8
ENSG00000185090.g	ENSG00000185090	MANEAL
ENSG00000183386.g	ENSG00000183386	FHL3
ENSG00000243970.g	ENSG00000243970	PPIEL
ENSG00000116985.g	ENSG00000116985	BMP8B
ENSG00000116990.g	ENSG00000116990	MYCL
ENSG00000168389.g	ENSG00000168389	MFSD2A
ENSG00000228477.g	ENSG00000228477	
ENSG00000049089.g	ENSG00000049089	COL9A2
ENSG00000117016.g	ENSG00000117016	RIMS3
ENSG00000179862.g	ENSG00000179862	CITED4
ENSG00000127124.g	ENSG00000127124	HIVEP3
ENSG00000164010.g	ENSG00000164010	ERMAP
ENSG00000117394.g	ENSG00000117394	SLC2A1
ENSG00000284138.g	ENSG00000284138	NA
ENSG00000066056.g	ENSG00000066056	TIE1
ENSG00000117400.g	ENSG00000117400	MPL
ENSG00000117399.g	ENSG00000117399	CDC20
ENSG00000142949.g	ENSG00000142949	PTPRF
ENSG00000117407.g	ENSG00000117407	ARTN
ENSG00000117411.g	ENSG00000117411	B4GALT2
ENSG00000196517.g	ENSG00000196517	SLC6A9
ENSG00000198520.g	ENSG00000198520	C1orf228
ENSG00000199377.g	ENSG00000199377	RNU5F-1
ENSG00000200169.g	ENSG00000200169	RNU5D-1
ENSG00000142945.g	ENSG00000142945	KIF2C
ENSG00000173846.g	ENSG00000173846	PLK3
ENSG00000222009.g	ENSG00000222009	BTBD19
ENSG00000126088.g	ENSG00000126088	UROD
ENSG00000186603.g	ENSG00000186603	HPDL
ENSG00000132763.g	ENSG00000132763	MMACHC
ENSG00000117461.g	ENSG00000117461	PIK3R3
ENSG00000085999.g	ENSG00000085999	RAD54L
ENSG00000117480.g	ENSG00000117480	FAAH
ENSG00000162366.g	ENSG00000162366	PDZK1IP1
ENSG00000162367.g	ENSG00000162367	TAL1
ENSG00000132122.g	ENSG00000132122	SPATA6
ENSG00000235105.g	ENSG00000235105	
ENSG00000123080.g	ENSG00000123080	CDKN2C
ENSG00000085831.g	ENSG00000085831	TTC39A
ENSG00000157077.g	ENSG00000157077	ZFYVE9
ENSG00000085840.g	ENSG00000085840	ORC1
ENSG00000228929.g	ENSG00000228929	
ENSG00000121310.g	ENSG00000121310	ECHDC2
ENSG00000162390.g	ENSG00000162390	ACOT11
ENSG00000116133.g	ENSG00000116133	DHCR24
ENSG00000162407.g	ENSG00000162407	PPAP2B
ENSG00000225475.g	ENSG00000225475	
ENSG00000223416.g	ENSG00000223416	RPS26P15
ENSG00000185839.g	ENSG00000185839	
ENSG00000177606.g	ENSG00000177606	JUN
ENSG00000134709.g	ENSG00000134709	HOOK1
ENSG00000162599.g	ENSG00000162599	NFIA
ENSG00000132849.g	ENSG00000132849	INADL
ENSG00000116641.g	ENSG00000116641	DOCK7
ENSG00000079739.g	ENSG00000079739	PGM1
ENSG00000158966.g	ENSG00000158966	CACHD1
ENSG00000162437.g	ENSG00000162437	RAVER2
ENSG00000162433.g	ENSG00000162433	AK4
ENSG00000116675.g	ENSG00000116675	DNAJC6
ENSG00000116678.g	ENSG00000116678	LEPR
ENSG00000184588.g	ENSG00000184588	PDE4B
ENSG00000118473.g	ENSG00000118473	SGIP1
ENSG00000152760.g	ENSG00000152760	TCTEX1D1
ENSG00000081985.g	ENSG00000081985	IL12RB2
ENSG00000116717.g	ENSG00000116717	GADD45A
ENSG00000024526.g	ENSG00000024526	DEPDC1
ENSG00000172260.g	ENSG00000172260	NEGR1
ENSG00000233994.g	ENSG00000233994	GDI2P2
ENSG00000116791.g	ENSG00000116791	CRYZ
ENSG00000184005.g	ENSG00000184005	ST6GALNAC3
ENSG00000154027.g	ENSG00000154027	AK5
ENSG00000162614.g	ENSG00000162614	NEXN
ENSG00000162616.g	ENSG00000162616	DNAJB4
ENSG00000273338.g	ENSG00000273338	
ENSG00000137959.g	ENSG00000137959	IFI44L
ENSG00000137965.g	ENSG00000137965	IFI44
ENSG00000137941.g	ENSG00000137941	TTLL7
ENSG00000153898.g	ENSG00000153898	MCOLN2
ENSG00000153904.g	ENSG00000153904	DDAH1
ENSG00000171502.g	ENSG00000171502	COL24A1
ENSG00000143013.g	ENSG00000143013	LMO4
ENSG00000117226.g	ENSG00000117226	GBP3
ENSG00000117228.g	ENSG00000117228	GBP1
ENSG00000162645.g	ENSG00000162645	GBP2
ENSG00000162654.g	ENSG00000162654	GBP4
ENSG00000154451.g	ENSG00000154451	GBP5
ENSG00000225492.g	ENSG00000225492	GBP1P1
ENSG00000171488.g	ENSG00000171488	LRRC8C
ENSG00000069702.g	ENSG00000069702	TGFBR3
ENSG00000162676.g	ENSG00000162676	GFI1
ENSG00000223745.g	ENSG00000223745	
ENSG00000229567.g	ENSG00000229567	
ENSG00000137942.g	ENSG00000137942	FNBP1L
ENSG00000137936.g	ENSG00000137936	BCAR3
ENSG00000023909.g	ENSG00000023909	GCLM
ENSG00000117525.g	ENSG00000117525	F3
ENSG00000117519.g	ENSG00000117519	CNN3
ENSG00000152078.g	ENSG00000152078	TMEM56
ENSG00000188641.g	ENSG00000188641	DPYD
ENSG00000162692.g	ENSG00000162692	VCAM1
ENSG00000162694.g	ENSG00000162694	EXTL2
ENSG00000170989.g	ENSG00000170989	S1PR1
ENSG00000183298.g	ENSG00000183298	
ENSG00000240038.g	ENSG00000240038	AMY2B
ENSG00000226822.g	ENSG00000226822	
ENSG00000162636.g	ENSG00000162636	FAM102B
ENSG00000162639.g	ENSG00000162639	HENMT1
ENSG00000270066.g	ENSG00000270066	SCARNA2
ENSG00000143126.g	ENSG00000143126	CELSR2
ENSG00000134222.g	ENSG00000134222	PSRC1
ENSG00000134243.g	ENSG00000134243	SORT1
ENSG00000181754.g	ENSG00000181754	AMIGO1
ENSG00000213366.g	ENSG00000213366	GSTM2
ENSG00000134184.g	ENSG00000134184	GSTM1
ENSG00000134202.g	ENSG00000134202	GSTM3
ENSG00000184371.g	ENSG00000184371	CSF1
ENSG00000259834.g	ENSG00000259834	
ENSG00000177272.g	ENSG00000177272	KCNA3
ENSG00000232811.g	ENSG00000232811	
ENSG00000143110.g	ENSG00000143110	C1orf162
ENSG00000121933.g	ENSG00000121933	ADORA3
ENSG00000282608.g	ENSG00000282608	NA
ENSG00000197852.g	ENSG00000197852	FAM212B
ENSG00000143079.g	ENSG00000143079	CTTNBP2NL
ENSG00000155366.g	ENSG00000155366	RHOC
ENSG00000155380.g	ENSG00000155380	SLC16A1
ENSG00000081026.g	ENSG00000081026	MAGI3
ENSG00000188761.g	ENSG00000188761	BCL2L15
ENSG00000175984.g	ENSG00000175984	DENND2C
ENSG00000134198.g	ENSG00000134198	TSPAN2
ENSG00000233730.g	ENSG00000233730	
ENSG00000173218.g	ENSG00000173218	VANGL1
ENSG00000163393.g	ENSG00000163393	SLC22A15
ENSG00000224950.g	ENSG00000224950	
ENSG00000177173.g	ENSG00000177173	NAP1L4P1
ENSG00000116824.g	ENSG00000116824	CD2
ENSG00000134247.g	ENSG00000134247	PTGFRN
ENSG00000134256.g	ENSG00000134256	CD101
ENSG00000183508.g	ENSG00000183508	FAM46C
ENSG00000143067.g	ENSG00000143067	ZNF697
ENSG00000092621.g	ENSG00000092621	PHGDH
ENSG00000134250.g	ENSG00000134250	NOTCH2
ENSG00000188610.g	ENSG00000188610	FAM72B
ENSG00000213244.g	ENSG00000213244	HIST2H3DP1
ENSG00000223345.g	ENSG00000223345	HIST2H2BA
ENSG00000198019.g	ENSG00000198019	FCGR1B
ENSG00000234978.g	ENSG00000234978	
ENSG00000230850.g	ENSG00000230850	
ENSG00000185044.g	ENSG00000185044	
ENSG00000238825.g	ENSG00000238825	RNU1-13P
ENSG00000206694.g	ENSG00000206694	RNVU1-3
ENSG00000215784.g	ENSG00000215784	FAM72D
ENSG00000285215.g	ENSG00000285215	NA
