,Pre-B,B,Pro-B,Early Lymphoid,HSC MPP,Early Erythroid,pDC,Cycling Progenitor,Megakaryocyte Precursor,CD4 Memory T,NK,CD8 Memory T,Plasma_Cell,EoBasoMast Precursor,Late GMP,Early GMP,cDC,LMPP,MEP,Pro-Monocyte,Naive T,Monocyte,Late Erythroid,Stromal
BA2392R,0.0057765858431059,0,0.63338197938091,0,0,0,0,0,0.316899538474145,0,0,0,0,0,0,0,0,0,0,0,0,0.00124718857993362,0,0.0426947077219061
BA2611R,0.00636562318391138,0,0.618712629945817,0,0,0,0,0,0.333415955326919,0,0,0,0,0,0,0,0,0,0,0,0,0.00137514251105418,0,0.0401306490322984
BA2506R,0.00364871163826957,0,0.644729020937046,0,0,0,0,0,0.308689164435339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042933102989346
BA2430R,0.0124570067234203,0,0.609587759472868,0,0,0,0,0,0.332930630724686,0,0,0,0,0,0,0,0,0,0,0,0,0.00121385152996676,0,0.0438107515490584
BA2448R,0.0149922713905751,0,0.62664477411909,0,0,0,0,0,0.315127330388103,0,0,0,0,0,0,0,0,0,0,0,0,0.000883809647722473,0,0.0423518144545093
BA2730R,0.0129040132657823,0,0.623050026139462,0,0,0,0,0,0.317760761207692,0,0,0,0,0,0,0,0,0,0,0,0,0.000779327919500174,0,0.0455058714675632
BA2845R,0.00907583338449331,0,0.621040082279218,0,0,0,0,0,0.317915475952909,0,0,0,0,0,0,0,0,0,0,0,0,0.000724266148323058,0,0.0512443422350569
BA2326R,0.00638651180909343,0,0.639365046264169,0,0,0,0,0,0.305152584959341,0,0,0,0,0,0,0,0,0,0,0,0,0.000931814400870349,0,0.0481640425665268
BA2341R,0.0370898810909507,0,0.58833566915473,0,0,0,0,0,0.329033242668625,0,0,0,0,0,0,0,0,0,0,0,0,0.000600993782845415,0,0.0449402133028492
BA2612R,0.00457271425365365,0,0.638837135713889,0,0,0,0,0,0.309041081873262,0,0,0,0,0,0,0,0,0,0,0,0,0.000999861231499325,0,0.0465492069276962
BA2973R,0.00925679834975089,0,0.615230945830654,0,0,0,0,0,0.326725937186989,0,0,0,0,0,0,0,0,0,0,0,0,5.74104851989776e-05,0,0.0487289081474064
BA2390R,0.00734891120845118,0,0.636172872478544,0,0,0,0,0,0.304572718713928,0,0,0,0,0,0,0,0,0,0,0,0,0.00130198180168041,0,0.0506035157973961
BA3218R,0.00634467458292962,0,0.628606860174386,0,0,0,0,0,0.311100307162799,0,0,0,0,0,0,0,0,0,0,0,0,0.000514008845585326,0,0.0534341492343005
BA3105R,0.00845624779233368,0,0.589872675395382,0,0,0,0,0,0.349919612639495,0,0,0,0,0,0,0,0,0,0,0,0,0.00124185855599714,0,0.0505096056167915
