"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11"
"LSPC.Primed.Top100",4.26589691987211,30,NA,NA,NA,NA,1.69627258180863,6.35848555473819,NA,NA,NA
"LSPC.Quiescent",7.35552058008321,30,1.59987046471427,NA,NA,NA,NA,9.91214070264407,NA,NA,NA
"LSPC.Primed.Top250",6.35473404161009,30,1.59987046471427,2.8075852684856,NA,NA,4.23075683896596,10.1097701854104,NA,NA,NA
"Mono4",2.40510423338974,NA,NA,NA,19.0706326327362,NA,NA,NA,NA,NA,NA
"GMP.like.Top250",NA,12.515454632602,NA,NA,5.83968689954785,2.56870481904895,2.65930895492846,4.82817561478137,NA,NA,NA
"Mono.like.Top250",3.04848455757097,14.7388728788263,1.59987046471427,NA,NA,2.56870481904895,NA,NA,NA,NA,NA
"LSC104_Ng2017_DOWN",1.5965329193486,1.67623443008248,NA,11.4064259588885,4.97052777577748,1.31737544646413,NA,NA,NA,NA,NA
"GMP.like.Top100",NA,1.55641905582811,NA,NA,1.64803586736685,1.41905810189467,7.99379836016512,NA,NA,NA,NA
"ProMono.like.Top100",4.26589691987211,2.86692031971103,NA,NA,1.91649329501107,NA,6.84305521483683,NA,NA,NA,NA
"Mono2",NA,NA,NA,NA,NA,1.40334733152028,NA,NA,NA,NA,NA
"cDC.like.Top100",NA,3.70583748843881,NA,NA,NA,3.11663672321121,1.69627258180863,NA,NA,NA,NA
"MLL_LSC_Somervaille2009_Down",NA,6.21909731837217,NA,NA,NA,1.41905810189467,NA,NA,NA,NA,NA
"Mono.like.Top100",2.24125260504741,5.74158238231349,NA,NA,NA,1.8415331793879,NA,NA,NA,NA,NA
"MLL_LSC_Somervaille2009_Up",NA,5.67459551936204,NA,NA,3.01809635566731,NA,NA,NA,NA,NA,NA
"LSPC.Cycle.Top100",NA,3.6725428258032,NA,NA,1.97299293123417,NA,2.43832656386643,NA,NA,NA,NA
"Mono1",NA,4.3892289036436,NA,NA,NA,NA,1.94430582001013,NA,NA,NA,NA
"ProMono.like.Top250",8.06582426823971,5.20472612369869,NA,NA,4.69460960183174,NA,7.60289225603535,NA,NA,NA,NA
"LSPC.Cycle.Top250",1.9406607514193,7.90145295409722,1.59987046471427,4.24019625997402,4.97052777577748,1.91016345505687,1.94835627669705,1.68006321703537,NA,NA,NA
"cDC.like.Top250",1.84987357955507,7.7795575788258,NA,1.70279032084565,NA,3.11663672321121,4.300857182534,NA,1.95612030115937,NA,NA
"Mono3",NA,5.35309802759127,NA,NA,1.91649329501107,3.11663672321121,4.50594000883598,NA,NA,NA,NA
