"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11"
"Neutrophil degranulation",NA,20.0856874184281,NA,NA,NA,13.6930550862726,30,NA,NA,NA,NA
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",NA,NA,NA,NA,NA,NA,27.6851383006925,NA,1.08837846445994,NA,NA
"Extracellular matrix organization",NA,NA,2.5667902198608,NA,NA,NA,20.7578353637749,NA,NA,NA,NA
"Post-translational protein phosphorylation",NA,NA,NA,NA,NA,NA,23.7878428833191,NA,NA,NA,NA
"Cell Cycle",3.64647202437131,NA,2.14536281517834,30,4.15147911733703,NA,13.241623124173,4.1709064497719,2.57528987040393,NA,2.55178522892173
"Cell Cycle, Mitotic",2.85611249872097,NA,2.43296610549032,30,NA,NA,10.7088102672638,3.12333746890567,1.82897330237264,NA,4.13519205901414
"Cell Cycle Checkpoints",3.40814778252343,NA,2.93954168045291,27.0176405720674,4.77392462939606,NA,NA,3.82271145393879,1.4016430520732,NA,NA
"M Phase",2.35047630905122,NA,NA,21.6825743276751,NA,NA,NA,NA,1.40441785234994,NA,NA
"Separation of Sister Chromatids",NA,NA,NA,21.0771105976194,NA,NA,NA,NA,1.05840022875592,NA,NA
"Mitotic Prometaphase",2.51604184416836,NA,NA,27.4548154382781,NA,NA,NA,NA,1.20085200697473,NA,NA
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",1.94946703342726,NA,2.67753576781267,26.7316320081488,NA,NA,NA,NA,NA,NA,NA
"Amplification of signal from the kinetochores",1.94946703342726,NA,2.67753576781267,26.7316320081488,NA,NA,NA,NA,NA,NA,NA
"Mitotic Spindle Checkpoint",NA,NA,2.43296610549032,27.4548154382781,NA,NA,NA,NA,NA,NA,NA
"Resolution of Sister Chromatid Cohesion",NA,NA,1.72529587442262,27.9692758931804,NA,NA,NA,NA,NA,NA,NA
"Gene expression (Transcription)",NA,23.4682405066872,NA,NA,NA,2.52122546580083,18.1830166237767,1.49132835613815,1.60428467261648,NA,NA
"RNA Polymerase II Transcription",NA,15.7251242097099,NA,NA,NA,1.57931484006288,15.1414833358437,1.49132835613815,1.3214379641612,NA,NA
"Innate Immune System",NA,23.8154046300732,NA,NA,5.54181841820245,10.7774223517169,16.2993673150982,NA,1.15289478955065,NA,NA
"Metabolism of RNA",NA,21.3663902887402,3.6729042034825,NA,7.40572779721498,2.51042097958217,8.96732341229047,NA,NA,NA,4.13519205901414
"Immune System",4.55879152438114,30,NA,NA,8.67703654860102,6.80011756714406,NA,NA,NA,NA,NA
"rRNA processing",NA,21.6241545680544,NA,NA,NA,1.27251790961501,NA,NA,NA,NA,3.89916737632511
"rRNA processing in the nucleus and cytosol",NA,21.9012892842921,NA,NA,NA,NA,NA,NA,NA,NA,4.13519205901414
"Major pathway of rRNA processing in the nucleolus and cytosol",NA,18.6936321951385,NA,NA,NA,1.26012566482036,NA,NA,NA,NA,3.43132464530286
"rRNA modification in the nucleus and cytosol",NA,18.4053795069876,NA,NA,NA,NA,NA,NA,NA,NA,4.13519205901414
"RHO GTPases Activate Formins",NA,NA,1.60624890029124,NA,NA,NA,NA,NA,NA,NA,NA
"Platelet Aggregation (Plug Formation)",NA,NA,NA,NA,18.3203645462139,NA,NA,3.34470598534887,NA,NA,NA
"Platelet activation, signaling and aggregation",2.13789951110111,NA,NA,NA,28.394194518788,1.63405562025691,NA,5.82684296578296,NA,NA,NA
"Hemostasis",1.93502616326137,NA,NA,NA,29.0565615570913,1.1309519670099,NA,4.46665913154921,NA,NA,3.89916737632511
"Platelet degranulation ",NA,NA,NA,NA,27.3141222101486,NA,NA,4.57914779459374,NA,NA,3.09452795209214
"Response to elevated platelet cytosolic Ca2+",NA,NA,NA,NA,26.9024452044824,NA,NA,4.46665913154921,NA,NA,3.18976486722151
