"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11"
"Cell Cycle Checkpoints",NA,3.56587475291443,NA,2.01949559475128,30,NA,NA,NA,1.22487898543854,NA,NA
"Mitotic Anaphase",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
"DNA Replication",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
"G1/S Transition",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
"Cell Cycle",NA,5.5385175154184,NA,2.11552227685594,30,NA,NA,NA,1.01518800468867,NA,11.679685149625
"Cell Cycle, Mitotic",NA,3.78034269611817,NA,2.46445317242796,30,NA,NA,NA,1.00585685705888,NA,12.7204564553447
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",NA,NA,NA,1.93458564538764,30,NA,NA,NA,NA,NA,5.69243266920467
"Amplification of signal from the kinetochores",NA,NA,NA,1.93458564538764,30,NA,NA,NA,NA,NA,5.69243266920467
"Chromosome Maintenance",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,8.85654004666784
"M Phase",NA,NA,NA,NA,30,1.05302874149914,NA,NA,NA,NA,7.95108614307374
"Plasma lipoprotein assembly",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA
"Plasma lipoprotein remodeling",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8667097173173,NA
"Plasma lipoprotein assembly, remodeling, and clearance",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0872113239694,NA
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",NA,NA,NA,2.21304129216596,NA,NA,2.80768708200224,NA,1.2095172317867,15.9647737219203,NA
"RHO GTPases Activate NADPH Oxidases",NA,18.432571614762,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neutrophil degranulation",1.35881000919514,30,NA,1.79354521637293,NA,NA,6.44768777273227,NA,NA,NA,NA
"Immune System",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Innate Immune System",NA,30,NA,NA,NA,NA,1.51384458488807,NA,NA,NA,NA
"DNA Repair",NA,6.83407039313525,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitotic Prometaphase",NA,NA,NA,2.11552227685594,NA,NA,NA,NA,NA,NA,6.08623671247737
"Resolution of Sister Chromatid Cohesion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78297930754733
"Deposition of new CENPA-containing nucleosomes at the centromere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52201168679928
"Nucleosome assembly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52201168679928
"RHO GTPase Effectors",NA,NA,NA,1.84679208382989,NA,NA,NA,1.03507460868317,NA,NA,NA
"HDR through Homologous Recombination (HRR)",NA,NA,NA,NA,NA,NA,NA,NA,1.00056101332024,NA,NA
"Processing of Capped Intron-Containing Pre-mRNA",NA,NA,NA,NA,NA,NA,22.4130880064011,NA,NA,NA,NA
"Gene expression (Transcription)",NA,9.78121699228061,NA,NA,NA,NA,15.5366229952075,NA,NA,NA,NA
"Metabolism of RNA",NA,8.40402091577337,2.30683700551279,2.60977623675437,NA,NA,20.2164172955526,NA,2.17633449728411,NA,NA
